"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-01","2020","01","01","","2.2","","-3.3","","-0.6","","18.6","","0.0","","","","","","2.5","","","","28","","52",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-02","2020","01","02","","-3.0","","-8.6","","-5.8","","23.8","","0.0","","","","","","0.0","","","","25","","37",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-03","2020","01","03","","5.1","","-5.6","","-0.3","","18.3","","0.0","","","","","","15.8","","","","20","","68",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-04","2020","01","04","","4.3","","-2.7","","0.8","","17.2","","0.0","","","","","","2.8","","","","18","","65",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-05","2020","01","05","","0.8","","-6.3","","-2.8","","20.8","","0.0","","","","","","0.5","","","","18","","68",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-06","2020","01","06","","-2.8","","-13.5","","-8.2","","26.2","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-07","2020","01","07","","-6.5","","-15.5","","-11.0","","29.0","","0.0","","","","","","2.4","","","","35","","35",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-08","2020","01","08","","-7.7","","-13.5","","-10.6","","28.6","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-09","2020","01","09","","-9.3","","-14.9","","-12.1","","30.1","","0.0","","","","","","0.8","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-10","2020","01","10","","-4.7","","-13.1","","-8.9","","26.9","","0.0","","","","","","13.1","","","","1","","33",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-11","2020","01","11","","-13.1","","-22.2","","-17.7","","35.7","","0.0","","","","","","2.2","","","","36","","32",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-12","2020","01","12","","-20.3","","-32.3","","-26.3","","44.3","","0.0","","","","","","0.0","","","","36","","46",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-13","2020","01","13","","-24.0","","-39.5","","-31.8","","49.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-14","2020","01","14","","-25.7","","-40.3","","-33.0","","51.0","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-15","2020","01","15","","-23.9","","-44.2","","-34.1","","52.1","","0.0","","","","","","0.4","","","","36","","46",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-16","2020","01","16","","-20.9","","-23.9","","-22.4","","40.4","","0.0","","","","","","7.9","","","","35","","45",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-17","2020","01","17","","-21.4","","-31.4","","-26.4","","44.4","","0.0","","","","","","0.1","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-18","2020","01","18","","-14.2","","-32.6","","-23.4","","41.4","","0.0","","","","","","1.5","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-19","2020","01","19","","3.2","","-14.1","","-5.5","","23.5","","0.0","","","","","","0.2","","","","19","","54",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-20","2020","01","20","","6.3","","-4.8","","0.8","","17.2","","0.0","","","","","","0.0","","","","18","","68",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-21","2020","01","21","","0.2","","-5.6","","-2.7","","20.7","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-22","2020","01","22","","3.3","","-7.4","","-2.1","","20.1","","0.0","","","","","","0.0","","","","19","","32",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-23","2020","01","23","","5.9","","-4.1","","0.9","","17.1","","0.0","","","","","","1.4","","","","19","","59",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-24","2020","01","24","","5.9","","-1.3","","2.3","","15.7","","0.0","","","","","","0.4","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-25","2020","01","25","","3.7","","-4.2","","-0.3","","18.3","","0.0","","","","","","0.0","","","","18","","42",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-26","2020","01","26","","5.3","","-9.5","","-2.1","","20.1","","0.0","","","","","","0.0","","","","20","","45",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-27","2020","01","27","","4.9","","-4.6","","0.2","","17.8","","0.0","","","","","","0.0","","","","18","","59",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-28","2020","01","28","","3.3","","-6.8","","-1.8","","19.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-29","2020","01","29","","5.2","","-7.7","","-1.3","","19.3","","0.0","","","","","","0.0","","","","17","","76",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-30","2020","01","30","","4.5","","-2.9","","0.8","","17.2","","0.0","","","","","","0.0","","","","17","","78",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-01-31","2020","01","31","","2.6","","-4.4","","-0.9","","18.9","","0.0","","","","","","6.1","","","","19","","39",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-01","2020","02","01","","4.4","","-5.4","","-0.5","","18.5","","0.0","","","","","","0.2","","","","28","","63",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-02","2020","02","02","","-1.9","","-7.9","","-4.9","","22.9","","0.0","","","","","","0.0","","","","17","","41",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-03","2020","02","03","","-5.3","","-18.5","","-11.9","","29.9","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-04","2020","02","04","","-3.3","","-7.6","","-5.5","","23.5","","0.0","","","","","","","M","","","18","","59",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-05","2020","02","05","","0.0","","-4.8","","-2.4","","20.4","","0.0","","","","","","3.9","","","","17","","45",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-06","2020","02","06","","-0.2","","-9.2","","-4.7","","22.7","","0.0","","","","","","0.0","","","","24","","32",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-07","2020","02","07","","-3.2","","-8.3","","-5.8","","23.8","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-08","2020","02","08","","-2.8","","-16.1","","-9.5","","27.5","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-09","2020","02","09","","3.6","","-5.9","","-1.2","","19.2","","0.0","","","","","","0.0","","","","19","","41",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-10","2020","02","10","","2.2","","-9.9","","-3.9","","21.9","","0.0","","","","","","0.0","","","","19","","46",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-11","2020","02","11","","5.9","","-0.4","","2.8","","15.2","","0.0","","","","","","0.0","","","","29","","48",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-12","2020","02","12","","3.1","","-9.1","","-3.0","","21.0","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-13","2020","02","13","","3.2","","-1.4","","0.9","","17.1","","0.0","","","","","","0.0","","","","18","","48",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-14","2020","02","14","","3.4","","-6.2","","-1.4","","19.4","","0.0","","","","","","0.0","","","","25","","37",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-15","2020","02","15","","3.6","","-2.5","","0.6","","17.4","","0.0","","","","","","0.4","","","","19","","46",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-16","2020","02","16","","1.1","","-6.7","","-2.8","","20.8","","0.0","","","","","","0.2","","","","19","","37",""
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-17","2020","02","17","","1.0","","-11.0","","-5.0","","23.0","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-18","2020","02","18","","0.3","","-13.0","","-6.4","","24.4","","0.0","","","","","","0.0","","","","","M","","M"
"-122.68","53.88","PRINCE GEORGE","1096439","2020-02-19","2020","02","19","","2.3","","-15.9","","-6.8","","24.8","","0.0","","","","","","0.0","","","","","M","","M"
